year,month,mean_temp,max_temp,min_temp,precipitation
1950,Jan,25.72,30.24,21.26,278.25
1950,Feb,25.44,30.01,20.91,251.81
1950,Mar,25.9,30.47,21.39,258.26
1950,Apr,25.76,30.37,21.2,292.96
1950,May,25.8,30.38,21.26,237.31
1950,Jun,25.54,30.19,20.94,192.97
1950,Jul,24.94,29.72,20.21,157.57
1950,Aug,24.99,29.84,20.18,208.99
1950,Sep,25.42,30.35,20.53,185.77
1950,Oct,25.55,30.52,20.64,241.79
1950,Nov,25.6,30.4,20.86,268.71
1950,Dec,25.35,29.93,20.82,269.2
1951,Jan,25.25,29.75,20.81,295.25
1951,Feb,25.2,29.74,20.71,301.89
1951,Mar,25.63,30.22,21.08,240.69
1951,Apr,25.83,30.47,21.24,234.61
1951,May,25.6,30.23,21.02,230.53
1951,Jun,25.57,30.23,20.96,184.19
1951,Jul,24.81,29.51,20.17,187.79
1951,Aug,25.09,30.01,20.22,152.87
