province_name,year,month,mean_temp,max_temp,min_temp,precipitation
Aceh,1923,11_Nov,25.49,31.43,19.6,261.82
Aceh,1923,12_Dec,25.35,31.21,19.53,235.33
Aceh,1924,01_Jan,24.72,30.41,19.07,172.27
Aceh,1924,02_Feb,24.73,30.55,18.96,205.72
Aceh,1924,03_Mar,25.1,31.02,19.24,316.72
Aceh,1924,04_Apr,25.63,31.63,19.68,207.53
Aceh,1924,05_May,25.36,31.41,19.37,227.3
Aceh,1924,06_Jun,24.83,30.86,18.86,198.61
Aceh,1924,07_Jul,24.75,31.1,18.45,140.2
Aceh,1924,08_Aug,25.08,31.55,18.67,101.98
Aceh,1924,09_Sep,25.11,31.43,18.83,319.74
Aceh,1924,10_Oct,25.24,31.47,19.06,218.75
Aceh,1924,11_Nov,25.25,31.09,19.47,263.28
Aceh,1924,12_Dec,24.94,30.77,19.16,239.34
Aceh,1925,01_Jan,24.35,30.4,18.34,301.27
Aceh,1925,02_Feb,24.33,30.29,18.4,171.58
Aceh,1925,03_Mar,24.89,30.98,18.83,126.0
Aceh,1925,04_Apr,25.53,31.57,19.55,132.53
Aceh,1925,05_May,25.49,31.83,19.22,120.26
Aceh,1925,06_Jun,24.97,31.19,18.8,158.24
Aceh,1925,07_Jul,24.89,31.22,18.62,78.82
Aceh,1925,08_Aug,24.92,31.59,18.31,219.64
Aceh,1925,09_Sep,25.21,31.75,18.72,137.7
Aceh,1925,10_Oct,25.28,31.64,18.96,258.96
Aceh,1925,11_Nov,25.43,31.57,19.32,247.0
Aceh,1925,12_Dec,25.05,31.08,19.06,293.67
Aceh,1926,01_Jan,24.42,30.41,18.48,157.45
Aceh,1926,02_Feb,24.81,31.05,18.62,125.97
Aceh,1926,03_Mar,25.24,31.69,18.84,100.6
Aceh,1926,04_Apr,25.98,32.11,19.89,83.8
Aceh,1926,05_May,25.79,31.91,19.71,182.26
Aceh,1926,06_Jun,25.06,31.22,18.97,156.83
Aceh,1926,07_Jul,24.88,31.39,18.42,155.01
Aceh,1926,08_Aug,24.96,31.55,18.43,155.39
Aceh,1926,09_Sep,25.09,31.6,18.64,186.29
Aceh,1926,10_Oct,25.37,31.8,18.98,268.46
Aceh,1926,11_Nov,25.45,31.6,19.35,225.09
Aceh,1926,12_Dec,25.22,31.08,19.4,401.49
Aceh,1927,01_Jan,24.46,30.35,18.62,196.3
Aceh,1927,02_Feb,24.68,30.75,18.65,131.01
Aceh,1927,03_Mar,25.2,31.36,19.1,199.36
Aceh,1927,04_Apr,25.46,31.46,19.51,293.79
Aceh,1927,05_May,25.28,31.61,19.0,197.57
Aceh,1927,06_Jun,24.85,31.06,18.7,187.44
Aceh,1927,07_Jul,24.83,31.16,18.57,130.89
Aceh,1927,08_Aug,24.94,31.53,18.4,176.14
Aceh,1927,09_Sep,25.26,31.73,18.84,160.1
Aceh,1927,10_Oct,25.28,31.66,18.95,257.3
Aceh,1927,11_Nov,25.39,31.46,19.36,234.35
Aceh,1927,12_Dec,25.25,31.19,19.33,263.1
Aceh,1928,01_Jan,24.6,30.68,18.6,153.66
Aceh,1928,02_Feb,24.69,30.51,18.93,164.91
Aceh,1928,03_Mar,24.96,31.1,18.88,219.35
Aceh,1928,04_Apr,25.43,31.52,19.39,180.14
Aceh,1928,05_May,25.47,31.74,19.25,151.22
Aceh,1928,06_Jun,24.92,31.16,18.73,59.33
Aceh,1928,07_Jul,24.85,31.38,18.37,160.37
Aceh,1928,08_Aug,24.86,31.45,18.32,151.4
