province_name,year,month,mean_temp
Aceh,1949,Oct,25.4
Aceh,1949,Nov,25.46
Aceh,1949,Dec,25.35
Aceh,1950,Jan,24.77
Aceh,1950,Feb,24.94
Aceh,1950,Mar,25.26
Aceh,1950,Apr,25.55
Aceh,1950,May,25.51
Aceh,1950,Jun,24.93
Aceh,1950,Jul,24.72
Aceh,1950,Aug,24.87
Aceh,1950,Sep,25.04
Aceh,1950,Oct,25.36
Aceh,1950,Nov,25.49
Aceh,1950,Dec,25.07
Aceh,1951,Jan,23.61
Aceh,1951,Feb,23.58
Aceh,1951,Mar,24.47
Aceh,1951,Apr,25.16
Aceh,1951,May,24.86
Aceh,1951,Jun,24.74
Aceh,1951,Jul,24.14
Aceh,1951,Aug,24.69
Aceh,1951,Sep,24.9
Aceh,1951,Oct,25.12
Aceh,1951,Nov,25.39
Aceh,1951,Dec,24.96
Aceh,1952,Jan,24.34
Aceh,1952,Feb,24.5
Aceh,1952,Mar,24.67
Aceh,1952,Apr,25.15
Aceh,1952,May,25.14
Aceh,1952,Jun,24.69
Aceh,1952,Jul,24.45
Aceh,1952,Aug,24.33
Aceh,1952,Sep,24.9
Aceh,1952,Oct,25.14
Aceh,1952,Nov,24.61
Aceh,1952,Dec,24.21
Aceh,1953,Jan,23.95
Aceh,1953,Feb,23.88
Aceh,1953,Mar,24.37
Aceh,1953,Apr,25.0
Aceh,1953,May,24.94
Aceh,1953,Jun,24.71
Aceh,1953,Jul,24.23
Aceh,1953,Aug,24.91
Aceh,1953,Sep,24.71
Aceh,1953,Oct,25.27
Aceh,1953,Nov,25.2
Aceh,1953,Dec,24.94
Aceh,1954,Jan,24.28
Aceh,1954,Feb,24.39
Aceh,1954,Mar,24.66
Aceh,1954,Apr,25.15
Aceh,1954,May,24.91
Aceh,1954,Jun,24.52
Aceh,1954,Jul,24.18
Aceh,1954,Aug,24.51
Aceh,1954,Sep,24.59
Aceh,1954,Oct,24.69
Aceh,1954,Nov,24.65
Aceh,1954,Dec,24.54
Aceh,1955,Jan,23.72
Aceh,1955,Feb,24.09
Aceh,1955,Mar,24.64
Aceh,1955,Apr,24.89
Aceh,1955,May,25.22
Aceh,1955,Jun,24.31
Aceh,1955,Jul,24.28
Aceh,1955,Aug,24.16
Aceh,1955,Sep,24.91
Aceh,1955,Oct,24.86
Aceh,1955,Nov,24.64
Aceh,1955,Dec,24.27
