province_name,year,month,max_temp
Aceh,1951,Aug,31.16
Aceh,1951,Sep,31.19
Aceh,1951,Oct,31.47
Aceh,1951,Nov,31.45
Aceh,1951,Dec,30.81
Aceh,1952,Jan,30.26
Aceh,1952,Feb,30.27
Aceh,1952,Mar,30.51
Aceh,1952,Apr,30.99
Aceh,1952,May,31.17
Aceh,1952,Jun,30.79
Aceh,1952,Jul,30.7
Aceh,1952,Aug,30.73
Aceh,1952,Sep,31.35
Aceh,1952,Oct,31.33
Aceh,1952,Nov,30.54
Aceh,1952,Dec,30.45
Aceh,1953,Jan,29.88
Aceh,1953,Feb,29.63
Aceh,1953,Mar,30.36
Aceh,1953,Apr,30.91
Aceh,1953,May,30.99
Aceh,1953,Jun,30.77
Aceh,1953,Jul,30.48
Aceh,1953,Aug,31.43
Aceh,1953,Sep,30.91
Aceh,1953,Oct,31.69
Aceh,1953,Nov,31.26
Aceh,1953,Dec,31.1
Aceh,1954,Jan,30.12
Aceh,1954,Feb,30.4
Aceh,1954,Mar,30.67
Aceh,1954,Apr,31.03
Aceh,1954,May,30.98
Aceh,1954,Jun,30.58
Aceh,1954,Jul,30.46
Aceh,1954,Aug,30.86
Aceh,1954,Sep,30.85
Aceh,1954,Oct,30.99
Aceh,1954,Nov,30.8
Aceh,1954,Dec,30.58
Aceh,1955,Jan,29.57
Aceh,1955,Feb,30.23
Aceh,1955,Mar,31.17
Aceh,1955,Apr,30.95
Aceh,1955,May,31.34
Aceh,1955,Jun,30.36
Aceh,1955,Jul,30.74
Aceh,1955,Aug,30.6
Aceh,1955,Sep,31.49
Aceh,1955,Oct,31.2
Aceh,1955,Nov,30.49
Aceh,1955,Dec,30.49
Aceh,1956,Jan,29.58
Aceh,1956,Feb,30.11
Aceh,1956,Mar,30.6
Aceh,1956,Apr,30.95
Aceh,1956,May,30.89
Aceh,1956,Jun,30.35
Aceh,1956,Jul,30.34
Aceh,1956,Aug,30.49
Aceh,1956,Sep,30.78
Aceh,1956,Oct,31.0
Aceh,1956,Nov,30.83
Aceh,1956,Dec,30.18
Aceh,1957,Jan,30.13
Aceh,1957,Feb,30.37
Aceh,1957,Mar,30.76
Aceh,1957,Apr,31.33
Aceh,1957,May,31.37
Aceh,1957,Jun,31.23
Aceh,1957,Jul,30.84
Aceh,1957,Aug,30.99
Aceh,1957,Sep,31.14
Aceh,1957,Oct,31.43
Aceh,1957,Nov,31.57
Aceh,1957,Dec,30.77
Aceh,1958,Jan,30.9
Aceh,1958,Feb,30.82
Aceh,1958,Mar,31.22
Aceh,1958,Apr,32.21
Aceh,1958,May,32.02
Aceh,1958,Jun,31.02
Aceh,1958,Jul,31.35
Aceh,1958,Aug,31.0
Aceh,1958,Sep,31.62
Aceh,1958,Oct,31.42
Aceh,1958,Nov,30.67
Aceh,1958,Dec,31.23
Aceh,1959,Jan,30.63
Aceh,1959,Feb,31.11
Aceh,1959,Mar,30.93
Aceh,1959,Apr,31.06
Aceh,1959,May,31.44
Aceh,1959,Jun,30.86
Aceh,1959,Jul,30.63
Aceh,1959,Aug,30.8
Aceh,1959,Sep,31.31
Aceh,1959,Oct,31.36
Aceh,1959,Nov,31.06
Aceh,1959,Dec,31.29
Aceh,1960,Jan,30.29
Aceh,1960,Feb,30.24
Aceh,1960,Mar,31.19
Aceh,1960,Apr,31.26
Aceh,1960,May,31.63
Aceh,1960,Jun,30.73
Aceh,1960,Jul,31.05
Aceh,1960,Aug,31.44
Aceh,1960,Sep,31.51
Aceh,1960,Oct,31.92
Aceh,1960,Nov,30.85
Aceh,1960,Dec,30.97
Aceh,1961,Jan,30.02
Aceh,1961,Feb,30.43
Aceh,1961,Mar,30.65
Aceh,1961,Apr,30.92
Aceh,1961,May,31.36
Aceh,1961,Jun,30.54
Aceh,1961,Jul,31.03
Aceh,1961,Aug,31.27
Aceh,1961,Sep,31.1
Aceh,1961,Oct,31.14
Aceh,1961,Nov,31.3
Aceh,1961,Dec,30.76
Aceh,1962,Jan,29.59
Aceh,1962,Feb,30.07
Aceh,1962,Mar,30.32
Aceh,1962,Apr,31.28
Aceh,1962,May,31.7
Aceh,1962,Jun,30.68
Aceh,1962,Jul,30.91
Aceh,1962,Aug,30.49
Aceh,1962,Sep,31.26
Aceh,1962,Oct,31.3
Aceh,1962,Nov,31.32
Aceh,1962,Dec,30.8
Aceh,1963,Jan,29.07
Aceh,1963,Feb,29.88
Aceh,1963,Mar,30.8
Aceh,1963,Apr,31.95
Aceh,1963,May,31.94
Aceh,1963,Jun,30.87
Aceh,1963,Jul,31.25
Aceh,1963,Aug,31.02
Aceh,1963,Sep,31.37
Aceh,1963,Oct,31.1
Aceh,1963,Nov,31.23
Aceh,1963,Dec,31.11
